,thread_id,post_id,user_name,date,message,cite1,cite2,cite3,cite4
0,20181964,post_203465212,Superheross,25-03-2020 15:09,"
מי שמשובץ שם מה התנאי מגורים? איפה הבסיסים נמצאים? בביסלא? איך זה עובד?
 
לא כזה יודע
",,,,
1,20181964,post_203465252,Superheross,25-03-2020 15:09,"
מי שמשובץ שם מה התנאי מגורים? איפה הבסיסים נמצאים? בביסלא? איך זה עובד?
 
לא כזה יודע
",,,,
0,20181911,post_203464577,JoJolion,25-03-2020 14:45,"
מדבר על ג’וב. יומיות. ידוע מתי חוזרים? כרגע אני פשוט בבית.. כמו כל האזרחים..
",,,,
0,20181351,post_203457578,Lifrun,25-03-2020 03:13,"
המדינה תקרוס כלכלית ולא תצליח לשלם משכורת לכל כך הרבה חיילים אז מה שנשאר לעשות זה לשחרר חיילים לא חיוניים מתי לדעתכם זה יקרה
 
מחר כנראה.
 
לא יודע אחי אבל היום קיבלתי את המענק אז הם עדיין מתפקדים אי שם למעלה אז תנסה תגיש בקשה תראה מה יקרה
 
גם תהיו בבית חודשיים וגם תקבלו קצרש? לא אחי
 
אתה חושב שהכלטם כסף שיוצא למדינה על חיילי סדיר משנה משהו למדינה?
 
 השתחררת בסוף?
 
זה לא עובד בצורה כזאת, לכל שנה, או לפחות לחצי שנה הבאה יש תקציב שהמדינה/משרד הביטחון מקצה מראש לחיילי סדיר, כלומר הצבא כבר שילם עליך (משכורות, נסיעות, אוכל, ציוד, מה שזה לא יהיה) מראש כדי שתוכל להמשיך לשרת עד השחרור שלך. 
 
מה שכן זה שאתה בבית ומקבל רק משכורת (שזה לא בטוח בכלל, לך תדע יחשבו לך ימי בסיס וזהו) הצבא כבר חוסך עליך מלא כסף (כלומר על כל החיילים שלא חיוניים כרגע). 
 
ובלי קשר, כדי לקבל קיצור שירות זה תהליך שכולל וועדה שבוחנת למה שתקבל את זה, הם לא יעשו תהליך לכל אחד מהסיבה הזאת כרגע כי גם ככה אין כ""א בצבא.
 
 כבר חודש אזרח
 
זה בהחלט הדבר ההגיוני לעשות אבל זה לא יקרה לדעתי
 
 מה השתחררת?
 
 מ24 לפברואר
 
 פשש מזל טוב 
הלוואי עליי
 
 זה נכון חלקית, זה מה שקורה, אבל ברגע שקורה משהו בסדר גודל כזה שמשנה ומנפח לך את כל ההוצאות התקציביות שלך, אז אין ספק שמסתכלים איפה אפשר לחתוך כמה שניתן, אם קיצור שירות החיילים יוביל לחיסכון של כמה מיליארדים אז זה צעד שישקלו אותו, ממילא השירות חובה בישראל הוא השירות החובה הארוך ביותר מבין כל המדינות המערביות בעלות שירות חובה, אפילו ברוסיה שירות החובה הוא שנה כשבפועל רק 20 אחוז מתגייסים שם
 
גם אם המדינה תהיה בגרעון של מליארדים-לא יקצרו שירות וצהל לא יגייס פחות
",login.php?do=lostpw,login.php?do=lostpw,login.php?do=lostpw,login.php?do=lostpw
1,20181351,post_203459015,Lifrun,25-03-2020 03:13,"
המדינה תקרוס כלכלית ולא תצליח לשלם משכורת לכל כך הרבה חיילים אז מה שנשאר לעשות זה לשחרר חיילים לא חיוניים מתי לדעתכם זה יקרה
 
מחר כנראה.
 
לא יודע אחי אבל היום קיבלתי את המענק אז הם עדיין מתפקדים אי שם למעלה אז תנסה תגיש בקשה תראה מה יקרה
 
גם תהיו בבית חודשיים וגם תקבלו קצרש? לא אחי
 
אתה חושב שהכלטם כסף שיוצא למדינה על חיילי סדיר משנה משהו למדינה?
 
 השתחררת בסוף?
 
זה לא עובד בצורה כזאת, לכל שנה, או לפחות לחצי שנה הבאה יש תקציב שהמדינה/משרד הביטחון מקצה מראש לחיילי סדיר, כלומר הצבא כבר שילם עליך (משכורות, נסיעות, אוכל, ציוד, מה שזה לא יהיה) מראש כדי שתוכל להמשיך לשרת עד השחרור שלך. 
 
מה שכן זה שאתה בבית ומקבל רק משכורת (שזה לא בטוח בכלל, לך תדע יחשבו לך ימי בסיס וזהו) הצבא כבר חוסך עליך מלא כסף (כלומר על כל החיילים שלא חיוניים כרגע). 
 
ובלי קשר, כדי לקבל קיצור שירות זה תהליך שכולל וועדה שבוחנת למה שתקבל את זה, הם לא יעשו תהליך לכל אחד מהסיבה הזאת כרגע כי גם ככה אין כ""א בצבא.
 
 כבר חודש אזרח
 
זה בהחלט הדבר ההגיוני לעשות אבל זה לא יקרה לדעתי
 
 מה השתחררת?
 
 מ24 לפברואר
 
 פשש מזל טוב 
הלוואי עליי
 
 זה נכון חלקית, זה מה שקורה, אבל ברגע שקורה משהו בסדר גודל כזה שמשנה ומנפח לך את כל ההוצאות התקציביות שלך, אז אין ספק שמסתכלים איפה אפשר לחתוך כמה שניתן, אם קיצור שירות החיילים יוביל לחיסכון של כמה מיליארדים אז זה צעד שישקלו אותו, ממילא השירות חובה בישראל הוא השירות החובה הארוך ביותר מבין כל המדינות המערביות בעלות שירות חובה, אפילו ברוסיה שירות החובה הוא שנה כשבפועל רק 20 אחוז מתגייסים שם
 
גם אם המדינה תהיה בגרעון של מליארדים-לא יקצרו שירות וצהל לא יגייס פחות
",login.php?do=lostpw,login.php?do=lostpw,login.php?do=lostpw,login.php?do=lostpw
2,20181351,post_203459957,Lifrun,25-03-2020 03:13,"
המדינה תקרוס כלכלית ולא תצליח לשלם משכורת לכל כך הרבה חיילים אז מה שנשאר לעשות זה לשחרר חיילים לא חיוניים מתי לדעתכם זה יקרה
 
מחר כנראה.
 
לא יודע אחי אבל היום קיבלתי את המענק אז הם עדיין מתפקדים אי שם למעלה אז תנסה תגיש בקשה תראה מה יקרה
 
גם תהיו בבית חודשיים וגם תקבלו קצרש? לא אחי
 
אתה חושב שהכלטם כסף שיוצא למדינה על חיילי סדיר משנה משהו למדינה?
 
 השתחררת בסוף?
 
זה לא עובד בצורה כזאת, לכל שנה, או לפחות לחצי שנה הבאה יש תקציב שהמדינה/משרד הביטחון מקצה מראש לחיילי סדיר, כלומר הצבא כבר שילם עליך (משכורות, נסיעות, אוכל, ציוד, מה שזה לא יהיה) מראש כדי שתוכל להמשיך לשרת עד השחרור שלך. 
 
מה שכן זה שאתה בבית ומקבל רק משכורת (שזה לא בטוח בכלל, לך תדע יחשבו לך ימי בסיס וזהו) הצבא כבר חוסך עליך מלא כסף (כלומר על כל החיילים שלא חיוניים כרגע). 
 
ובלי קשר, כדי לקבל קיצור שירות זה תהליך שכולל וועדה שבוחנת למה שתקבל את זה, הם לא יעשו תהליך לכל אחד מהסיבה הזאת כרגע כי גם ככה אין כ""א בצבא.
 
 כבר חודש אזרח
 
זה בהחלט הדבר ההגיוני לעשות אבל זה לא יקרה לדעתי
 
 מה השתחררת?
 
 מ24 לפברואר
 
 פשש מזל טוב 
הלוואי עליי
 
 זה נכון חלקית, זה מה שקורה, אבל ברגע שקורה משהו בסדר גודל כזה שמשנה ומנפח לך את כל ההוצאות התקציביות שלך, אז אין ספק שמסתכלים איפה אפשר לחתוך כמה שניתן, אם קיצור שירות החיילים יוביל לחיסכון של כמה מיליארדים אז זה צעד שישקלו אותו, ממילא השירות חובה בישראל הוא השירות החובה הארוך ביותר מבין כל המדינות המערביות בעלות שירות חובה, אפילו ברוסיה שירות החובה הוא שנה כשבפועל רק 20 אחוז מתגייסים שם
 
גם אם המדינה תהיה בגרעון של מליארדים-לא יקצרו שירות וצהל לא יגייס פחות
",login.php?do=lostpw,login.php?do=lostpw,login.php?do=lostpw,login.php?do=lostpw
3,20181351,post_203460655,Lifrun,25-03-2020 03:13,"
המדינה תקרוס כלכלית ולא תצליח לשלם משכורת לכל כך הרבה חיילים אז מה שנשאר לעשות זה לשחרר חיילים לא חיוניים מתי לדעתכם זה יקרה
 
מחר כנראה.
 
לא יודע אחי אבל היום קיבלתי את המענק אז הם עדיין מתפקדים אי שם למעלה אז תנסה תגיש בקשה תראה מה יקרה
 
גם תהיו בבית חודשיים וגם תקבלו קצרש? לא אחי
 
אתה חושב שהכלטם כסף שיוצא למדינה על חיילי סדיר משנה משהו למדינה?
 
 השתחררת בסוף?
 
זה לא עובד בצורה כזאת, לכל שנה, או לפחות לחצי שנה הבאה יש תקציב שהמדינה/משרד הביטחון מקצה מראש לחיילי סדיר, כלומר הצבא כבר שילם עליך (משכורות, נסיעות, אוכל, ציוד, מה שזה לא יהיה) מראש כדי שתוכל להמשיך לשרת עד השחרור שלך. 
 
מה שכן זה שאתה בבית ומקבל רק משכורת (שזה לא בטוח בכלל, לך תדע יחשבו לך ימי בסיס וזהו) הצבא כבר חוסך עליך מלא כסף (כלומר על כל החיילים שלא חיוניים כרגע). 
 
ובלי קשר, כדי לקבל קיצור שירות זה תהליך שכולל וועדה שבוחנת למה שתקבל את זה, הם לא יעשו תהליך לכל אחד מהסיבה הזאת כרגע כי גם ככה אין כ""א בצבא.
 
 כבר חודש אזרח
 
זה בהחלט הדבר ההגיוני לעשות אבל זה לא יקרה לדעתי
 
 מה השתחררת?
 
 מ24 לפברואר
 
 פשש מזל טוב 
הלוואי עליי
 
 זה נכון חלקית, זה מה שקורה, אבל ברגע שקורה משהו בסדר גודל כזה שמשנה ומנפח לך את כל ההוצאות התקציביות שלך, אז אין ספק שמסתכלים איפה אפשר לחתוך כמה שניתן, אם קיצור שירות החיילים יוביל לחיסכון של כמה מיליארדים אז זה צעד שישקלו אותו, ממילא השירות חובה בישראל הוא השירות החובה הארוך ביותר מבין כל המדינות המערביות בעלות שירות חובה, אפילו ברוסיה שירות החובה הוא שנה כשבפועל רק 20 אחוז מתגייסים שם
 
גם אם המדינה תהיה בגרעון של מליארדים-לא יקצרו שירות וצהל לא יגייס פחות
",login.php?do=lostpw,login.php?do=lostpw,login.php?do=lostpw,login.php?do=lostpw
4,20181351,post_203461684,Lifrun,25-03-2020 03:13,"
המדינה תקרוס כלכלית ולא תצליח לשלם משכורת לכל כך הרבה חיילים אז מה שנשאר לעשות זה לשחרר חיילים לא חיוניים מתי לדעתכם זה יקרה
 
מחר כנראה.
 
לא יודע אחי אבל היום קיבלתי את המענק אז הם עדיין מתפקדים אי שם למעלה אז תנסה תגיש בקשה תראה מה יקרה
 
גם תהיו בבית חודשיים וגם תקבלו קצרש? לא אחי
 
אתה חושב שהכלטם כסף שיוצא למדינה על חיילי סדיר משנה משהו למדינה?
 
 השתחררת בסוף?
 
זה לא עובד בצורה כזאת, לכל שנה, או לפחות לחצי שנה הבאה יש תקציב שהמדינה/משרד הביטחון מקצה מראש לחיילי סדיר, כלומר הצבא כבר שילם עליך (משכורות, נסיעות, אוכל, ציוד, מה שזה לא יהיה) מראש כדי שתוכל להמשיך לשרת עד השחרור שלך. 
 
מה שכן זה שאתה בבית ומקבל רק משכורת (שזה לא בטוח בכלל, לך תדע יחשבו לך ימי בסיס וזהו) הצבא כבר חוסך עליך מלא כסף (כלומר על כל החיילים שלא חיוניים כרגע). 
 
ובלי קשר, כדי לקבל קיצור שירות זה תהליך שכולל וועדה שבוחנת למה שתקבל את זה, הם לא יעשו תהליך לכל אחד מהסיבה הזאת כרגע כי גם ככה אין כ""א בצבא.
 
 כבר חודש אזרח
 
זה בהחלט הדבר ההגיוני לעשות אבל זה לא יקרה לדעתי
 
 מה השתחררת?
 
 מ24 לפברואר
 
 פשש מזל טוב 
הלוואי עליי
 
 זה נכון חלקית, זה מה שקורה, אבל ברגע שקורה משהו בסדר גודל כזה שמשנה ומנפח לך את כל ההוצאות התקציביות שלך, אז אין ספק שמסתכלים איפה אפשר לחתוך כמה שניתן, אם קיצור שירות החיילים יוביל לחיסכון של כמה מיליארדים אז זה צעד שישקלו אותו, ממילא השירות חובה בישראל הוא השירות החובה הארוך ביותר מבין כל המדינות המערביות בעלות שירות חובה, אפילו ברוסיה שירות החובה הוא שנה כשבפועל רק 20 אחוז מתגייסים שם
 
גם אם המדינה תהיה בגרעון של מליארדים-לא יקצרו שירות וצהל לא יגייס פחות
",login.php?do=lostpw,login.php?do=lostpw,login.php?do=lostpw,login.php?do=lostpw
5,20181351,post_203462007,Lifrun,25-03-2020 03:13,"
המדינה תקרוס כלכלית ולא תצליח לשלם משכורת לכל כך הרבה חיילים אז מה שנשאר לעשות זה לשחרר חיילים לא חיוניים מתי לדעתכם זה יקרה
 
מחר כנראה.
 
לא יודע אחי אבל היום קיבלתי את המענק אז הם עדיין מתפקדים אי שם למעלה אז תנסה תגיש בקשה תראה מה יקרה
 
גם תהיו בבית חודשיים וגם תקבלו קצרש? לא אחי
 
אתה חושב שהכלטם כסף שיוצא למדינה על חיילי סדיר משנה משהו למדינה?
 
 השתחררת בסוף?
 
זה לא עובד בצורה כזאת, לכל שנה, או לפחות לחצי שנה הבאה יש תקציב שהמדינה/משרד הביטחון מקצה מראש לחיילי סדיר, כלומר הצבא כבר שילם עליך (משכורות, נסיעות, אוכל, ציוד, מה שזה לא יהיה) מראש כדי שתוכל להמשיך לשרת עד השחרור שלך. 
 
מה שכן זה שאתה בבית ומקבל רק משכורת (שזה לא בטוח בכלל, לך תדע יחשבו לך ימי בסיס וזהו) הצבא כבר חוסך עליך מלא כסף (כלומר על כל החיילים שלא חיוניים כרגע). 
 
ובלי קשר, כדי לקבל קיצור שירות זה תהליך שכולל וועדה שבוחנת למה שתקבל את זה, הם לא יעשו תהליך לכל אחד מהסיבה הזאת כרגע כי גם ככה אין כ""א בצבא.
 
 כבר חודש אזרח
 
זה בהחלט הדבר ההגיוני לעשות אבל זה לא יקרה לדעתי
 
 מה השתחררת?
 
 מ24 לפברואר
 
 פשש מזל טוב 
הלוואי עליי
 
 זה נכון חלקית, זה מה שקורה, אבל ברגע שקורה משהו בסדר גודל כזה שמשנה ומנפח לך את כל ההוצאות התקציביות שלך, אז אין ספק שמסתכלים איפה אפשר לחתוך כמה שניתן, אם קיצור שירות החיילים יוביל לחיסכון של כמה מיליארדים אז זה צעד שישקלו אותו, ממילא השירות חובה בישראל הוא השירות החובה הארוך ביותר מבין כל המדינות המערביות בעלות שירות חובה, אפילו ברוסיה שירות החובה הוא שנה כשבפועל רק 20 אחוז מתגייסים שם
 
גם אם המדינה תהיה בגרעון של מליארדים-לא יקצרו שירות וצהל לא יגייס פחות
",login.php?do=lostpw,login.php?do=lostpw,login.php?do=lostpw,login.php?do=lostpw
6,20181351,post_203462028,Lifrun,25-03-2020 03:13,"
המדינה תקרוס כלכלית ולא תצליח לשלם משכורת לכל כך הרבה חיילים אז מה שנשאר לעשות זה לשחרר חיילים לא חיוניים מתי לדעתכם זה יקרה
 
מחר כנראה.
 
לא יודע אחי אבל היום קיבלתי את המענק אז הם עדיין מתפקדים אי שם למעלה אז תנסה תגיש בקשה תראה מה יקרה
 
גם תהיו בבית חודשיים וגם תקבלו קצרש? לא אחי
 
אתה חושב שהכלטם כסף שיוצא למדינה על חיילי סדיר משנה משהו למדינה?
 
 השתחררת בסוף?
 
זה לא עובד בצורה כזאת, לכל שנה, או לפחות לחצי שנה הבאה יש תקציב שהמדינה/משרד הביטחון מקצה מראש לחיילי סדיר, כלומר הצבא כבר שילם עליך (משכורות, נסיעות, אוכל, ציוד, מה שזה לא יהיה) מראש כדי שתוכל להמשיך לשרת עד השחרור שלך. 
 
מה שכן זה שאתה בבית ומקבל רק משכורת (שזה לא בטוח בכלל, לך תדע יחשבו לך ימי בסיס וזהו) הצבא כבר חוסך עליך מלא כסף (כלומר על כל החיילים שלא חיוניים כרגע). 
 
ובלי קשר, כדי לקבל קיצור שירות זה תהליך שכולל וועדה שבוחנת למה שתקבל את זה, הם לא יעשו תהליך לכל אחד מהסיבה הזאת כרגע כי גם ככה אין כ""א בצבא.
 
 כבר חודש אזרח
 
זה בהחלט הדבר ההגיוני לעשות אבל זה לא יקרה לדעתי
 
 מה השתחררת?
 
 מ24 לפברואר
 
 פשש מזל טוב 
הלוואי עליי
 
 זה נכון חלקית, זה מה שקורה, אבל ברגע שקורה משהו בסדר גודל כזה שמשנה ומנפח לך את כל ההוצאות התקציביות שלך, אז אין ספק שמסתכלים איפה אפשר לחתוך כמה שניתן, אם קיצור שירות החיילים יוביל לחיסכון של כמה מיליארדים אז זה צעד שישקלו אותו, ממילא השירות חובה בישראל הוא השירות החובה הארוך ביותר מבין כל המדינות המערביות בעלות שירות חובה, אפילו ברוסיה שירות החובה הוא שנה כשבפועל רק 20 אחוז מתגייסים שם
 
גם אם המדינה תהיה בגרעון של מליארדים-לא יקצרו שירות וצהל לא יגייס פחות
",login.php?do=lostpw,login.php?do=lostpw,login.php?do=lostpw,login.php?do=lostpw
